Class;Name;Signature;Ret Type
org.activiti.engine.impl.asyncexecutor.AcquireAsyncJobsDueRunnable;getMillisToWait;;long
org.activiti.engine.impl.asyncexecutor.AcquireTimerJobsRunnable;getMillisToWait;;long
org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor;getSecondsToWaitOnShutdown;;long
org.activiti.engine.history.HistoricActivityInstance;getDurationInMillis;;long
org.activiti.engine.history.ProcessInstanceHistoryLog;getDurationInMillis;;long
org.activiti.engine.history.HistoricTaskInstance;getDurationInMillis;;long
org.activiti.engine.history.HistoricTaskInstance;getWorkTimeInMillis;;long
org.activiti.engine.impl.persistence.entity.HistoricTaskInstanceEntityImpl;getDurationInMillis;;long
org.activiti.engine.impl.persistence.entity.HistoricTaskInstanceEntityImpl;getWorkTimeInMillis;;long
org.activiti.engine.impl.asyncexecutor.AsyncExecutor;getTimerLockTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.AsyncExecutor;getAsyncJobLockTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.AsyncExecutor;getDefaultTimerJobAcquireWaitTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.AsyncExecutor;getDefaultAsyncJobAcquireWaitTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.AsyncExecutor;getRetryWaitTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor;getTimerLockTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor;getAsyncJobLockTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor;getDefaultTimerJobAcquireWaitTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor;getDefaultAsyncJobAcquireWaitTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor;getRetryWaitTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getTimerLockTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getAsyncJobLockTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getDefaultTimerJobAcquireWaitTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getDefaultAsyncJobAcquireWaitTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getRetryWaitTimeInMillis;;int
org.activiti.engine.impl.asyncexecutor.AcquireAsyncJobsDueRunnable;getMillisToWait;;long
org.activiti.engine.impl.asyncexecutor.AcquireTimerJobsRunnable;getMillisToWait;;long
org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor;getSecondsToWaitOnShutdown;;long
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getTimerLockTimeInMillis;;long
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getAsyncJobLockTimeInMillis;;long
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getDefaultTimerJobAcquireWaitTimeInMillis;;long
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getDefaultAsyncJobAcquireWaitTimeInMillis;;long
org.activiti.engine.impl.asyncexecutor.multitenant.ExecutorPerTenantAsyncExecutor;getRetryWaitTimeInMillis;;long
