Class;Name;Signature;Ret Type
org.apache.hadoop.conf.Configuration;getTimeDurationHelper;String,String,TimeUnit;long
org.apache.hadoop.fs.DelegationTokenRenewer.RenewAction;getDelay;TimeUnit;long
org.apache.hadoop.io.retry.RetryInvocationHandler.Call;getWaitTime;long;long
org.apache.hadoop.ipc.DecayRpcScheduler;getDecayPeriodMillis;;long
org.apache.hadoop.metrics2.impl.MetricsSourceAdapter;getJmxCacheTTL;;long
org.apache.hadoop.metrics2.sink.RollingFileSystemSink;getRollInterval;;long
org.apache.hadoop.security.ssl.ReloadingX509TrustManager;getReloadInterval;;long
org.apache.hadoop.security.token.delegation.AbstractDelegationTokenSecretManager;renewToken;Token,String;long
org.apache.hadoop.service.AbstractService;getStartTime;;long
org.apache.hadoop.util.Shell.ShellCommandExecutor;getTimeoutInterval;;long
org.apache.hadoop.util.StopWatch;now;TimeUnit;long
org.apache.hadoop.util.StopWatch;now;;long
org.apache.hadoop.util.SysInfoLinux;getCurrentTime;;long
org.apache.hadoop.util.Time;now;;long
org.apache.hadoop.util.Time;monotonicNow;;long
org.apache.hadoop.util.Time;monotonicNowNanos;;long
org.apache.hadoop.util.Timer;now;;long
org.apache.hadoop.util.Timer;monotonicNow;;long
org.apache.hadoop.util.Timer;monotonicNowNanos;;long
org.apache.hadoop.hdfs.qjournal.client.IPCLoggerChannel;getLagTimeMillis;;long
org.apache.hadoop.hdfs.qjournal.server.Journal;getLastJournalTimestamp;;long
org.apache.hadoop.hdfs.server.datanode.BlockScanner.Conf;getConfiguredScanPeriodMs;Configuration;long
org.apache.hadoop.hdfs.server.datanode.DiskBalancer.DiskBalancerMover;computeDelay;long,long,DiskBalancerWorkItem;long
org.apache.hadoop.hdfs.server.datanode.DiskBalancer.DiskBalancerMover;getStartTime;;long
org.apache.hadoop.hdfs.server.datanode.DiskBalancer.DiskBalancerMover;getElapsedSeconds;;long
org.apache.hadoop.hdfs.server.datanode.VolumeScanner;positiveMsToHours;long;long
org.apache.hadoop.hdfs.server.datanode.VolumeScanner;findNextUsableBlockIter;;long
org.apache.hadoop.hdfs.server.namenode.ha.HAState;getLastHATransitionTime;;long
org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode;getLastCheckpointTime;;long
org.apache.hadoop.hdfs.nfs.nfs3.Nfs3Utils;getElapsedTime;long;long
org.apache.hadoop.mapred.Clock;getTime;;long
org.apache.hadoop.mapred.JobEndNotifier.JobEndStatusInfo;getRetryInterval;;long
org.apache.hadoop.mapred.JobEndNotifier.JobEndStatusInfo;getDelay;TimeUnit;long
org.apache.hadoop.mapreduce.task.reduce.ShuffleSchedulerImpl.Penalty;getDelay;TimeUnit;long
org.apache.hadoop.examples.pi.Util.Timer;tick;;long
org.apache.hadoop.examples.pi.Util.Timer;tick;String;long
org.apache.hadoop.fs.s3a.S3ABlockOutputStream;now;;long
org.apache.hadoop.fs.s3a.S3AFileStatus;getModificationTime;;long
org.apache.hadoop.tools.util.ThrottledInputStream;getBytesPerSec;;long
org.apache.hadoop.tools.util.ThrottledInputStream;getTotalSleepTime;;long
org.apache.hadoop.mapred.gridmix.ExecutionSummarizer;getStartTime;;long
org.apache.hadoop.mapred.gridmix.ExecutionSummarizer;getEndTime;;long
org.apache.hadoop.mapred.gridmix.ExecutionSummarizer;getInitTime;;long
org.apache.hadoop.mapred.gridmix.ExecutionSummarizer;getSimulationStartTime;;long
org.apache.hadoop.mapred.gridmix.ExecutionSummarizer;getSimulationTime;;long
org.apache.hadoop.mapred.gridmix.ExecutionSummarizer;getRuntime;;long
org.apache.hadoop.mapred.gridmix.GridmixJob;getDelay;TimeUnit;long
org.apache.hadoop.fs.swift.util.Duration;time;;long
org.apache.hadoop.yarn.sls.appmaster.AMSimulator;getDuration;;long
org.apache.hadoop.yarn.sls.scheduler.ContainerSimulator;getDelay;TimeUnit;long
org.apache.hadoop.yarn.sls.scheduler.TaskRunner.Task;getDelay;TimeUnit;long
org.apache.hadoop.yarn.logaggregation.AggregatedLogFormat.LogValue;getLogFileMetaData;File;long
org.apache.hadoop.yarn.util.Log4jWarningErrorMetricsAppender;getCleanupInterval;;long
org.apache.hadoop.yarn.util.Log4jWarningErrorMetricsAppender;getMessageAgeLimitSeconds;;long
org.apache.hadoop.yarn.util.Clock;getTime;;long
org.apache.hadoop.yarn.util.ControlledClock;getTime;;long
org.apache.hadoop.yarn.util.MonotonicClock;getTime;;long
org.apache.hadoop.yarn.util.UTCClock;getTime;;long
org.apache.hadoop.yarn.util.SystemClock;getTime;;long
org.apache.hadoop.yarn.util.Times;elapsed;long,long,boolean;long
org.apache.hadoop.yarn.server.timeline.RollingLevelDB.RollingWriteBatch;currentTimeMillis;;long
org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.LocalizedResource;currentTime;;long
org.apache.hadoop.yarn.server.nodemanager.LocalDirsHandlerService;getLastDisksCheckTime;;long
org.apache.hadoop.yarn.server.resourcemanager.NodesListManager;getNodeRemovalCheckInterval;;long
org.apache.hadoop.yarn.server.resourcemanager.ResourceManager;getClusterTimeStamp;;long
org.apache.hadoop.yarn.server.sharedcachemanager.store.SharedCacheResource;getAccessTime;;long
org.apache.hadoop.yarn.server.timelineservice.storage.common.TimestampGenerator;currentTime;;long
