Class;Name;Signature;Ret Type
org.apache.kafka.connect.util.MockTime;milliseconds;;long
org.apache.kafka.connect.util.MockTime;hiResClockMs;;long
org.apache.kafka.test.Microbenchmarks;systemMillis;int;long
org.apache.kafka.test.Microbenchmarks;systemNanos;int;long
org.apache.kafka.common.utils.MockTime;hiResClockMs;;long
org.apache.kafka.clients.consumer.internals.AbstractCoordinator.GroupCoordinatorMetrics;GroupCoordinatorMetrics;Metrics,String;long
org.apache.kafka.common.utils.SystemTime;milliseconds;;long
org.apache.kafka.common.utils.SystemTime;hiResClockMs;;long
org.apache.kafka.common.utils.SystemTime;nanoseconds;;long
org.apache.kafka.common.utils.Time;milliseconds;;long
org.apache.kafka.common.utils.Time;hiResClockMs;;long
org.apache.kafka.common.utils.Time;nanoseconds;;long
