Class;Name;Signature;Ret Type
org.neo4j.collection.pool.LinkedQueuePoolTest.FakeClock;getAsLong;;long
org.neo4j.io.fs.DefaultFileSystemAbstraction;lastModifiedTime;File;long
org.neo4j.time.FakeClock;nanos;;long
org.neo4j.time.FakeClock;millis;;long
org.neo4j.time.SystemNanoClock;nanos;;long
org.neo4j.io.fs.DefaultFileSystemAbstraction;lastModifiedTime;File;long
org.neo4j.helpers.Format;extractFromDuration;long,TimeUnit,StringBuilder;long
org.neo4j.kernel.impl.api.DefaultTransactionTracer;logRotationAccumulatedTotalTimeMillis;;long
org.neo4j.kernel.impl.api.KernelTransactionImplementation;getCommitTime;;long
org.neo4j.kernel.impl.locking.community.RWLock;maxWaitTime;;long
org.neo4j.kernel.impl.store.kvstore.RotationTimerFactory.RotationTimer;getElapsedTimeMillis;;long
org.neo4j.kernel.impl.transaction.log.checkpoint.DefaultCheckPointerTracer;checkPointAccumulatedTotalTimeMillis;;long
org.neo4j.kernel.impl.util.DebugUtil;time;long,String;long
org.neo4j.kernel.impl.util.DebugUtil.Timer;currentTime;;long
org.neo4j.kernel.impl.util.DebugUtil.Timer.Millis;currentTime;;long
org.neo4j.kernel.impl.util.DebugUtil.Timer.Nanos;currentTime;;long
org.neo4j.unsafe.impl.batchimport.staging.ExecutionMonitor.Adapter;nextCheckTime;;long
org.neo4j.unsafe.impl.batchimport.staging.ExecutionSupervisor;currentTimeMillis;;long
org.neo4j.unsafe.impl.batchimport.staging.ForkedProcessorStep;receive;long,T;long
org.neo4j.unsafe.impl.batchimport.staging.ProcessorStep;receive;long,T;long
org.neo4j.unsafe.impl.batchimport.staging.StageExecution;getExecutionTime;;long
org.neo4j.unsafe.impl.batchimport.store.io.IoMonitor;startTime;;long
org.neo4j.server.rest.paging.Lease;getPeriod;;long
org.neo4j.server.rest.paging.Lease;getStartTime;;long
org.neo4j.shell.kernel.apps.cypher.Start;now;;long
org.neo4j.causalclustering.core.consensus.schedule.DelayedRenewableTimeoutService;calcTimeoutTimestamp;long,long;long
org.neo4j.causalclustering.helper.RetryStrategy.Timeout;getMillis;;long
org.neo4j.kernel.ha.com.master.MasterImpl;generateEpoch;;long
org.neo4j.kernel.impl.enterprise.transaction.log.checkpoint.ConfigurableIOLimiter;maybeLimitIO;long,int,Flushable;long
org.neo4j.kernel.impl.enterprise.transaction.log.checkpoint.ConfigurableIOLimiter;currentTimeMillis;;long
