Class;Name;Signature;Ret Type
org.apache.sling.commons.fsclassloader.impl.FSClassLoaderProvider;getLastModified;String;long
org.apache.sling.commons.log.logback.internal.SlingConfigurationPrinter;getRotatedFiles;FileAppender,int;long
org.apache.sling.engine.impl.request.RequestData;getElapsedTimeMsec;;long
org.apache.sling.engine.impl.request.SlingRequestProgressTracker;startTimerInternal;String;long
org.apache.sling.engine.impl.request.SlingRequestProgressTracker;getDuration;;long
org.apache.sling.engine.impl.request.SlingRequestProgressTracker;getDuration;;long
org.apache.sling.discovery.base.connectors.announcement.CachedAnnouncement;getLastPing;;long
org.apache.sling.discovery.base.connectors.announcement.CachedAnnouncement;getFirstPing;;long
org.apache.sling.discovery.base.connectors.announcement.CachedAnnouncement;getSecondsUntilTimeout;;long
org.apache.sling.discovery.base.connectors.announcement.CachedAnnouncement;registerPing;Announcement,BaseConfig;long
org.apache.sling.discovery.base.connectors.ping.TopologyConnectorClient;getLastPingSent;;long
org.apache.sling.discovery.base.connectors.ping.TopologyConnectorClient;getNextPingDue;;long
org.apache.sling.discovery.base.connectors.ping.TopologyRequestValidator;getCurrentKey;;long
org.apache.sling.discovery.impl.cluster.voting.VotingView;getVotingStartTime;;long
org.apache.sling.hc.junitbridge.HealthCheckTestsProvider;lastModified;;long
org.apache.sling.hc.samples.impl.AsyncHealthCheckSample;secondsFromStart;;long
org.apache.sling.resourcebuilder.impl.ResourceBuilderImpl;getLastModified;long;long
org.apache.sling.servlethelpers.HeaderSupport;getDateHeader;String;long
org.apache.sling.jcr.contentloader.internal.readers.XmlReader.FileDescription;getLastModified;;long
org.apache.sling.scripting.sightly.impl.engine.SightlyJavaCompilerService.SightlyCompilationUnit;getLastModified;;long
org.apache.sling.jobs.impl.JobUpdateImpl;updateTimestamp;;long
org.apache.sling.jobs.impl.JobUpdateImpl;expires;;long
org.apache.sling.tracer.internal.JSONRecording;getTimeTaken;;long
org.apache.sling.tracer.internal.JSONRecording;getStart;;long
org.apache.sling.scripting.esx.plugins.SimpleResource;getDateTimeProperty;String;long
org.apache.sling.installer.core.impl.InstallerMBeanImpl;getSuspendedSince;;long
org.apache.sling.launchpad.base.impl.ContextConnection;getLastModified;;long
org.apache.sling.launchpad.base.impl.StartupManager;getTimeStampOfClass;Class,long;long
org.apache.sling.launchpad.base.impl.StartupManager;getSelfTimestamp;;long
org.apache.sling.junit.impl.BundleTestsProvider;lastModified;;long
org.apache.sling.maven.jspc.JspCClassLoaderWriter;getLastModified;String;long
org.apache.sling.maven.jspc.JspCIOProvider;lastModified;String;long
